Object Detection and Tracking Log
Time: 2024-12-12 18:33:15, Class: person, ID: 1
Time: 2024-12-12 18:33:15, Class: person, ID: 2
Time: 2024-12-12 18:33:15, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:16, Class: person, ID: 1
Time: 2024-12-12 18:33:16, Class: person, ID: 2
Time: 2024-12-12 18:33:16, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:17, Class: person, ID: 2
Time: 2024-12-12 18:33:17, Class: person, ID: 3
Time: 2024-12-12 18:33:18, Class: person, ID: 2
Time: 2024-12-12 18:33:18, Class: person, ID: 3
Time: 2024-12-12 18:33:18, Class: person, ID: 2
Time: 2024-12-12 18:33:18, Class: person, ID: 3
Time: 2024-12-12 18:33:18, Class: person, ID: 2
Time: 2024-12-12 18:33:18, Class: person, ID: 3
Time: 2024-12-12 18:33:18, Class: person, ID: 2
Time: 2024-12-12 18:33:18, Class: person, ID: 3
Time: 2024-12-12 18:33:18, Class: person, ID: 2
Time: 2024-12-12 18:33:18, Class: person, ID: 3
Time: 2024-12-12 18:33:18, Class: person, ID: 2
Time: 2024-12-12 18:33:18, Class: person, ID: 3
Time: 2024-12-12 18:33:19, Class: person, ID: 2
Time: 2024-12-12 18:33:19, Class: person, ID: 3
Time: 2024-12-12 18:33:19, Class: person, ID: 2
Time: 2024-12-12 18:33:19, Class: person, ID: 3
Time: 2024-12-12 18:33:19, Class: person, ID: 2
Time: 2024-12-12 18:33:19, Class: person, ID: 3
Time: 2024-12-12 18:33:19, Class: person, ID: 2
Time: 2024-12-12 18:33:19, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:20, Class: person, ID: 2
Time: 2024-12-12 18:33:20, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:21, Class: person, ID: 2
Time: 2024-12-12 18:33:21, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:22, Class: person, ID: 2
Time: 2024-12-12 18:33:22, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 2
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 2
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 2
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 2
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:23, Class: person, ID: 3
Time: 2024-12-12 18:33:24, Class: person, ID: 3
Time: 2024-12-12 18:33:24, Class: person, ID: 3
Time: 2024-12-12 18:33:24, Class: person, ID: 3
Time: 2024-12-12 18:33:24, Class: person, ID: 3
Time: 2024-12-12 18:33:24, Class: person, ID: 3
Time: 2024-12-12 18:33:24, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:25, Class: person, ID: 3
Time: 2024-12-12 18:33:26, Class: person, ID: 3
Time: 2024-12-12 18:33:26, Class: person, ID: 3
Time: 2024-12-12 18:33:26, Class: person, ID: 3
Time: 2024-12-12 18:33:26, Class: person, ID: 3
Time: 2024-12-12 18:33:26, Class: person, ID: 3
Time: 2024-12-12 18:33:26, Class: person, ID: 3
Time: 2024-12-12 18:33:27, Class: person, ID: 3
Time: 2024-12-12 18:33:27, Class: person, ID: 3
Time: 2024-12-12 18:33:27, Class: person, ID: 3
Time: 2024-12-12 18:33:48, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:49, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:50, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:51, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:52, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:53, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:54, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:55, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:56, Class: dog, ID: 9
Time: 2024-12-12 18:33:57, Class: dog, ID: 9
Time: 2024-12-12 18:33:57, Class: dog, ID: 9
Time: 2024-12-12 18:33:57, Class: dog, ID: 9
Time: 2024-12-12 18:33:57, Class: dog, ID: 9
